candidate_TF,neighbor_rank,neighbor_TF_in_perturbseq_rest,distance,similarity_approx
BACH2,1,GPBP1,0.37451929109837356,0.6254807089016264
BACH2,2,MSANTD4,0.37503415962158115,0.6249658403784188
BACH2,3,ZNF354A,0.40777249460898124,0.5922275053910188
BACH2,4,ZNF282,0.4405994392403171,0.5594005607596829
BACH2,5,GABPA,0.4406374887167097,0.5593625112832903
BACH2,6,ZNF620,0.4670311508676702,0.5329688491323298
BACH2,7,NR2C2,0.47997316446976646,0.5200268355302335
BACH2,8,ZFAT,0.500488896678107,0.49951110332189297
BACH2,9,NFATC2,0.5138793643819286,0.4861206356180714
BACH2,10,PRMT3,0.5143279689997527,0.48567203100024725
BCL11A,1,ATF6B,0.33118852732947335,0.6688114726705267
BCL11A,2,CSRNP1,0.3463399109104165,0.6536600890895835
BCL11A,3,MAFG,0.3588852938009348,0.6411147061990652
BCL11A,4,ZNF776,0.3960738898295677,0.6039261101704323
BCL11A,5,GTF3A,0.400438770592765,0.599561229407235
BCL11A,6,ZNF284,0.40927825848786026,0.5907217415121397
BCL11A,7,ZNF710,0.42418003994487163,0.5758199600551284
BCL11A,8,PHF19,0.42749306955693167,0.5725069304430683
BCL11A,9,FBXL19,0.44121601185462955,0.5587839881453704
BCL11A,10,ZNF180,0.4424832066363755,0.5575167933636245
BRF2,1,ZNF25,0.20993785978765644,0.7900621402123436
BRF2,2,ZNF70,0.2796080402915957,0.7203919597084043
BRF2,3,FOXP3,0.28402544498036364,0.7159745550196364
BRF2,4,ZNF800,0.3122768081558439,0.6877231918441561
BRF2,5,ZNF597,0.32404255468944965,0.6759574453105504
BRF2,6,RFX5,0.36260856162528066,0.6373914383747193
BRF2,7,ZHX1,0.3786788414469654,0.6213211585530346
BRF2,8,ZNF256,0.38137226031159543,0.6186277396884046
BRF2,9,ZNF7,0.39636761014073285,0.6036323898592671
BRF2,10,ZNF827,0.4060122341280906,0.5939877658719094
CEBPA,1,ZNF792,0.4517113162521087,0.5482886837478913
CEBPA,2,ZBTB22,0.4548329082400192,0.5451670917599808
CEBPA,3,RLF,0.4635898287553597,0.5364101712446403
CEBPA,4,ZSCAN26,0.4654482859802186,0.5345517140197814
CEBPA,5,VEZF1,0.47625739739574247,0.5237426026042575
CEBPA,6,NR4A1,0.47759096304337256,0.5224090369566274
CEBPA,7,ZNF619,0.47935617864111446,0.5206438213588855
CEBPA,8,ZNF260,0.48556258569757904,0.514437414302421
CEBPA,9,CC2D1A,0.48794104088731605,0.512058959112684
CEBPA,10,ZNF718,0.4978341504269911,0.5021658495730089
CEBPD,1,ZNF7,0.11992082159895445,0.8800791784010455
CEBPD,2,ZNF652,0.1430408964622868,0.8569591035377132
CEBPD,3,ZBTB9,0.1457184995586871,0.8542815004413129
CEBPD,4,ZNF304,0.1515414114116196,0.8484585885883804
CEBPD,5,ZNF626,0.16043748577757622,0.8395625142224238
CEBPD,6,ZXDC,0.17083304376854946,0.8291669562314505
CEBPD,7,RXRB,0.17179291789091278,0.8282070821090872
CEBPD,8,ZNF527,0.17455936587921528,0.8254406341207847
CEBPD,9,ZNF653,0.1759854943691027,0.8240145056308973
CEBPD,10,ZNF221,0.17890274784719307,0.8210972521528069
CREB3,1,SP140L,0.2337995998429242,0.7662004001570758
CREB3,2,NPAS2,0.2338863481677652,0.7661136518322348
CREB3,3,ZNF512B,0.24873027114256918,0.7512697288574308
CREB3,4,KLF9,0.255170956038946,0.744829043961054
