source_TF,target_gene,log2FC,culture_condition,evidence
HMBOX1,CD93,0.5269806248513472,Stim8hr,kNN_predicted
HMBOX1,CTSW,0.7019130767572788,Stim8hr,kNN_predicted
HMBOX1,FCER1G,0.5190675917801048,Stim8hr,kNN_predicted
HMBOX1,FCGBP,0.7926158401408064,Stim8hr,kNN_predicted
HMBOX1,GNLY,0.6158288939490076,Stim8hr,kNN_predicted
HMBOX1,IL6,0.5455510052520907,Stim8hr,kNN_predicted
HMBOX1,ODAPH,0.5602672127819429,Stim8hr,kNN_predicted
HMBOX1,TEX29,0.6198420373315982,Stim8hr,kNN_predicted
HMG20A,CXCL8,-0.5055077467743516,Stim8hr,kNN_predicted
HMG20A,IL5,-0.8054462943424533,Stim8hr,kNN_predicted
HMG20B,CCR1,0.7074003760723904,Stim8hr,kNN_predicted
HMG20B,CLCF1,0.5190531873437679,Stim8hr,kNN_predicted
HMG20B,HMOX1,0.5496506921148423,Stim8hr,kNN_predicted
HMGA1,CXCL8,-0.6589834081223349,Stim8hr,kNN_predicted
HMGA1,IL10,-0.5281665590772863,Stim8hr,kNN_predicted
HMGA1,IL22,-0.8020354681389296,Stim8hr,kNN_predicted
