source_TF,n_target_genes,n_edges,log2FC_mean,log2FC_std,log2FC_min,log2FC_max,adj_pval_min,adj_pval_mean,adj_pval_median,culture_condition
E2F7,3,3,0.7149801218741035,0.0640244988867453,0.6572708908326436,0.783851858070257,4.692760793811903e-06,0.0006360970184436,0.0004260521554321,Rest
E2F7,1,1,0.412654728427437,,0.412654728427437,0.412654728427437,3.8097696205465006e-09,3.8097696205465006e-09,3.8097696205465006e-09,Stim48hr
E2F8,1,1,0.4192440144813907,,0.4192440144813907,0.4192440144813907,7.507021067810065e-05,7.507021067810065e-05,7.507021067810065e-05,Rest
E2F8,18,18,0.3826888510163027,0.2530605454474452,-0.3197764968675884,0.8839354014772735,1.0574780418656373e-17,0.0078659290445372,0.0029797027354957,Stim48hr
E2F8,3,3,0.4701982906857163,0.217243400622674,0.2741797072934261,0.7037702296626057,0.0025096555840036,0.0072045349731171,0.0048335116349864,Stim8hr
EEA1,1,1,-0.2360266239509047,,-0.2360266239509047,-0.2360266239509047,0.0077046530090709,0.0077046530090709,0.0077046530090709,Stim8hr
EGR1,2,2,-0.6583558157928959,0.0796403700591056,-0.7146700615178956,-0.6020415700678962,1.2337448459536048e-27,6.560315234128908e-17,6.560315234128908e-17,Stim48hr
EGR1,3,3,-0.5538179827604616,0.0314569004267688,-0.5901011664985408,-0.5341983794465287,1.0812128854359805e-33,0.0001273508984221,9.111791852792172e-16,Stim8hr
EGR2,138,138,-0.0188285719168724,0.7806424950800449,-2.4152018913502853,3.1522914117913667,1.3724906690943057e-07,0.0207956647587282,0.0227188685035254,Stim48hr
EGR2,560,560,-0.1273887007167765,0.6221075232978789,-3.545536761270345,1.722902767610096,4.1855617135361015e-20,0.0163498152156625,0.0118010922606778,Stim8hr
EGR3,1,1,3.2348909595666284,,3.2348909595666284,3.2348909595666284,9.051672091345269e-05,9.051672091345269e-05,9.051672091345269e-05,Stim48hr
EGR3,31,31,0.2451882008894587,0.6577043523848026,-2.329761004442513,1.0391709849853463,0.0035352585500526,0.0290488343330882,0.0267031507167507,Stim8hr
ELF4,33,33,0.2837839092660543,0.7597432456409584,-1.3172209363440146,1.6765403836807946,2.429238449686724e-07,0.0210788311435947,0.0113632127638657,Rest
ELF4,3,3,-0.5049669187354345,0.0872854698992952,-0.5869662695146597,-0.4132145773135832,3.867360224705788e-07,0.0215531644139953,0.018766442480569,Stim48hr
ELF4,39,39,-0.288410007362652,1.004709938733085,-3.712536843716793,1.1995189955099987,0.001512555025135,0.0264061086557388,0.0241252260315364,Stim8hr
ELK3,1,1,-0.3136326709899339,,-0.3136326709899339,-0.3136326709899339,0.0049620544242163,0.0049620544242163,0.0049620544242163,Stim8hr
ELK4,1,1,0.3211034966318082,,0.3211034966318082,0.3211034966318082,0.0016743805975936,0.0016743805975936,0.0016743805975936,Rest
ELK4,2,2,1.121708916015701,1.928298759729451,-0.2418042131426028,2.485222045174005,0.000993074124528,0.0082536888591452,0.0082536888591452,Stim8hr
EPAS1,14,14,-0.1366778583425945,0.4343173574284097,-0.5295872019255917,1.0525777625126602,1.106024882757479e-06,0.0292791180385134,0.0332575639706743,Stim48hr
ERF,34,34,1.5337310073515005,1.2976220652446355,-0.7392760511836388,4.991030702044449,1.6248076095203939e-55,0.0156237065571198,0.0049967797791853,Rest
