source_TF,target_gene,log2FC,adj_p_value,p_value,zscore,culture_condition,n_guides_averaged
AHR,AP3M2,-0.403380794354949,0.0046971365444666,0.0003624672761374,-3.5660029613491897,Rest,1
AHR,MAP4K4,0.1871094720091771,0.0433123542666388,0.0082079159801898,2.6433952440328063,Rest,1
AHR,MGAT4A,-0.4407975083047135,7.145697994754553e-05,1.644225710139014e-06,-4.792857311645044,Rest,1
AHR,MYO3B,2.15147151749853,0.0319153565172617,0.0052211772654647,2.7930614484204512,Rest,1
AHR,RDH11,0.1900125890873181,0.0358278514643261,0.0062189430061509,2.736008444653395,Rest,1
AHR,ACTN1,1.5563311711912156,8.711752003078966e-05,2.126805044246197e-06,4.740986120153616,Rest,1
AHR,ALDH3A2,0.2903377249835919,0.0472521226538799,0.0093523048859423,2.598899870082347,Rest,1
AHR,MARK2,-0.1802882406823595,0.0017138700744668,9.54588142792282e-05,-3.90185378796482,Rest,1
AHR,ACADVL,0.1699292789133353,0.0269330201707485,0.0041009874966992,2.870287491798712,Rest,1
AHR,STK10,-0.210962255817525,0.0049644753400243,0.0003933131244037,-3.5445304141413967,Rest,1
AHR,DERL2,0.1362718360822184,0.0373478538515802,0.0066129910523843,2.715729570420764,Rest,1
AHR,EED,0.4770788051779436,0.0003417450230347,1.1539608391688844e-05,4.386109427935147,Rest,1
AHR,TXK,-0.8146106993639417,0.0002210610368759,6.616736675737484e-06,-4.505658695658347,Rest,1
AHR,SRI,0.3480046563171671,4.246837677363488e-05,8.421378613797208e-07,4.925340020450167,Rest,1
AHR,NUP37,0.1996472648236117,0.0491494956300347,0.0098703551695523,2.58033836059458,Rest,1
AHR,SLC25A3,0.1578345900338819,0.0260404930109509,0.0039045771825326,2.885769732298592,Rest,1
AHR,FSCN1,2.037905514426797,0.0245228554880738,0.0035714232527294,2.91372678328035,Rest,1
AHR,RAB7A,-0.1251606252703609,0.0212703010710031,0.0029226519758024,-2.9757582058722174,Rest,1
AHR,BCAP29,0.2463893144751794,0.0181933569936818,0.0023381977840537,3.0435304478172305,Rest,1
AHR,ARHGAP15,-0.1640923563350744,0.0149281272827108,0.0017663531019202,-3.126941101247561,Rest,1
AHR,REXO2,-0.2089992648051912,0.016906062625697,0.0020842007801579,-3.07796401940085,Rest,1
AHR,MLH1,0.2074344618703117,0.0319541130008151,0.005233528375683,2.7922970677982453,Rest,1
AHR,MBNL3,0.3758861550474187,0.0012872276959764,6.525838660735448e-05,3.9929425391896234,Rest,1
AHR,DGKD,-0.3064146766697661,0.0147839939812961,0.0017437673192792,-3.130722696647046,Rest,1
AHR,DNAJC10,0.1810133255496222,0.02521272898814,0.0037450017428833,2.8988783426619107,Rest,1
AHR,CST7,-0.5463609653343307,0.0338990671311856,0.0057552902607094,-2.761407014201002,Rest,1
AHR,TIGAR,0.2774141902438001,0.0213909678254032,0.0029532380984281,2.9725638163552635,Rest,1
AHR,SYNJ2,-0.3156087591808521,0.032618956191836,0.0053939035809534,-2.7825170215437818,Rest,1
AHR,PPP2R5C,-0.5176613956563579,2.5547731721926702e-09,1.218720716320514e-11,-6.777974833573497,Rest,1
AHR,NRDC,0.1238615739662045,0.0133157204126395,0.0015307286864777,3.1687939577700446,Rest,1
